parent_id;res_id;name
1;1757;Aladağ
1;1219;Ceyhan
1;2033;Çukurova
1;1329;Feke
1;1806;İmamoğlu
1;1437;Karai̇salı
1;1443;Karataş
1;1486;Kozan
1;1580;Pozantı
1;1588;Sai̇mbeyli̇
1;2032;Sarıçam
1;1104;Seyhan
1;1687;Tufanbeyli̇
1;1734;Yumurtalık
1;1748;Yüreği̇r
2;1182;Besni̇
2;1246;Çeli̇khan
2;1347;Gerger
2;1354;Gölbaşı
2;1425;Kahta
2;1105;Merkez
2;1592;Samsat
2;1985;Si̇nci̇k
2;1989;Tut
3;1771;Başmakçı
3;1773;Bayat
3;1200;Bolvadi̇n
3;1239;Çay
3;1906;Çobanlar
3;1267;Dazkırı
3;1281;Di̇nar
3;1306;Emi̇rdağ
3;1923;Evci̇ler
3;1944;Hocalar
3;1404;İhsani̇ye
3;1809;İscehi̇sar
3;1961;Kızılören
3;1108;Merkez
3;1594;Sandıklı
3;1626;Si̇nanpaşa
3;1639;Sultandağı
3;1664;Şuhut
4;1283;Di̇yadi̇n
4;1287;Doğubayazıt
4;1301;Eleşki̇rt
4;1379;Hamur
4;1111;Merkez
4;1568;Patnos
4;1667;Taşlıçay
4;1691;Tutak
68;1860;Ağaçören
68;1921;Eski̇l
68;1932;Gülağaç
68;1861;Güzelyurt
68;1120;Merkez
68;1557;Ortaköy
68;1866;Sarıyahşi̇
68;2110;Sultanhanı
5;1363;Göynücek
5;1368;Gümüşhacıköy
5;1938;Hamamözü
5;1134;Merkez
5;1524;Merzi̇fon
5;1641;Suluova
5;1668;Taşova
6;1872;Akyurt
6;1130;Altındağ
6;1157;Ayaş
6;1167;Bala
6;1187;Beypazarı
6;1227;Çamlıdere
6;1231;Çankaya
6;1260;Çubuk
6;1302;Elmadağ
6;1922;Eti̇mesgut
6;1924;Evren
6;1744;Gölbaşı
6;1365;Güdül
6;1387;Haymana
6;1815;Kahramankazan
6;1427;Kaleci̇k
6;1745;Keçi̇ören
6;1473;Kızılcahamam
6;1746;Mamak
6;1539;Nallıhan
6;1578;Polatlı
6;2034;Pursaklar
6;1747;Si̇ncan
6;1658;Şerefli̇koçhi̇sar
6;1723;Yeni̇mahalle
7;1121;Akseki̇
7;2035;Aksu
7;1126;Alanya
7;1811;Demre
7;2036;Döşemealtı
7;1303;Elmalı
7;1333;Fi̇ni̇ke
7;1337;Gazi̇paşa
7;1370;Gündoğmuş
7;1946;İbradı
7;1451;Kaş
7;1959;Kemer
7;2037;Kepez
7;2038;Konyaaltı
7;1483;Korkuteli̇
7;1492;Kumluca
7;1512;Manavgat
7;2039;Muratpaşa
7;1616;Seri̇k
75;1252;Çıldır
75;2008;Damal
75;1356;Göle
75;1380;Hanak
75;1144;Merkez
75;1579;Posof
8;1145;Ardanuç
8;1147;Arhavi̇
8;1202;Borçka
8;1395;Hopa
8;2109;Kemalpaşa
8;1152;Merkez
8;1828;Murgul
8;1653;Şavşat
8;1736;Yusufeli̇
9;1206;Bozdoğan
9;1781;Buharkent
9;1256;Çi̇ne
9;2000;Di̇di̇m
9;2093;Efeler
9;1348;Germenci̇k
9;1807;İnci̇rli̇ova
9;1435;Karacasu
9;1957;Karpuzlu
9;1479;Koçarlı
9;1968;Köşk
9;1497;Kuşadası
9;1498;Kuyucak
9;1542;Nazi̇lli̇
9;1637;Söke
9;1640;Sultanhi̇sar
9;1724;Yeni̇pazar
10;2091;Altıeylül
10;1161;Ayvalık
10;1169;Balya
10;1171;Bandırma
10;1191;Bi̇gadi̇ç
10;1216;Burhani̇ye
10;1291;Dursunbey
10;1294;Edremi̇t
10;1310;Erdek
10;1928;Gömeç
10;1360;Gönen
10;1384;Havran
10;1418;İvri̇ndi̇
10;2090;Karesi̇
10;1462;Kepsut
10;1514;Manyas
10;1824;Marmara
10;1608;Savaştepe
10;1619;Sındırgı
10;1644;Susurluk
74;1761;Amasra
74;1496;Kurucaşi̇le
74;1172;Merkez
74;1701;Ulus
72;1184;Beşi̇ri̇
72;1345;Gercüş
72;1941;Hasankeyf
72;1487;Kozluk
72;1174;Merkez
72;1607;Sason
69;1767;Aydıntepe
69;1788;Demi̇rözü
69;1176;Merkez
11;1210;Bozüyük
11;1359;Gölpazarı
11;1948;İnhi̇sar
11;1192;Merkez
11;1559;Osmaneli̇
11;1571;Pazaryeri̇
11;1636;Söğüt
11;1857;Yeni̇pazar
12;1750;Adaklı
12;1344;Genç
12;1446;Karlıova
12;1475;Ki̇ğı
12;1193;Merkez
12;1633;Solhan
12;1855;Yayladere
12;1996;Yedi̇su
13;1106;Adi̇lcevaz
13;1112;Ahlat
13;1798;Güroymak
13;1394;Hi̇zan
13;1196;Merkez
13;1537;Mutki̇
13;1669;Tatvan
14;1916;Dörtdi̇van
14;1346;Gerede
14;1364;Göynük
14;1466;Kıbrıscık
14;1522;Mengen
14;1199;Merkez
14;1531;Mudurnu
14;1610;Seben
14;1997;Yeni̇çağa
15;1109;Ağlasun
15;1874;Altınyayla
15;1211;Bucak
15;1899;Çavdır
15;1903;Çelti̇kçi̇
15;1357;Gölhi̇sar
15;1813;Karamanlı
15;1816;Kemer
15;1215;Merkez
15;1672;Tefenni̇
15;1728;Yeşi̇lova
16;1783;Büyükorhan
16;1343;Gemli̇k
16;1935;Gürsu
16;1799;Harmancık
16;1411;İnegöl
16;1420;İzni̇k
16;1434;Karacabey
16;1457;Keles
16;1960;Kestel
16;1530;Mudanya
16;1535;Mustafakemalpaşa
16;1829;Ni̇lüfer
16;1553;Orhaneli̇
16;1554;Orhangazi̇
16;1832;Osmangazi̇
16;1725;Yeni̇şehi̇r
16;1859;Yıldırım
17;1160;Ayvacık
17;1180;Bayrami̇ç
17;1190;Bi̇ga
17;1205;Bozcaada
17;1229;Çan
17;1293;Eceabat
17;1326;Ezi̇ne
17;1340;Geli̇bolu
17;1408;Gökçeada
17;1503;Lapseki̇
17;1230;Merkez
17;1722;Yeni̇ce
18;1765;Atkaracalar
18;1885;Bayramören
18;1248;Çerkeş
18;1300;Eldi̇van
18;1399;Ilgaz
18;1817;Kızılırmak
18;1963;Korgun
18;1494;Kurşunlu
18;1232;Merkez
18;1555;Orta
18;1649;Şabanözü
18;1718;Yapraklı
19;1124;Alaca
19;1177;Bayat
19;1778;Boğazkale
19;1911;Dodurga
19;1414;İski̇li̇p
19;1445;Kargı
19;1972;Laçi̇n
19;1520;Meci̇tözü
19;1259;Merkez
19;1976;Oğuzlar
19;1556;Ortaköy
19;1558;Osmancık
19;1642;Sungurlu
19;1850;Uğurludağ
20;1102;Acıpayam
20;1769;Babadağ
20;1881;Baklan
20;1774;Beki̇lli̇
20;1888;Beyağaç
20;1889;Bozkurt
20;1214;Buldan
20;1224;Çal
20;1226;Çameli̇
20;1233;Çardak
20;1257;Çi̇vri̇l
20;1371;Güney
20;1803;Honaz
20;1426;Kale
20;2092;Merkezefendi̇
20;1871;Pamukkale
20;1597;Sarayköy
20;1840;Seri̇nhi̇sar
20;1670;Tavas
21;2040;Bağlar
21;1195;Bi̇smi̇l
21;1249;Çermi̇k
21;1253;Çınar
21;1263;Çüngüş
21;1278;Di̇cle
21;1791;Eği̇l
21;1315;Ergani̇
21;1381;Hani̇
21;1389;Hazro
21;2041;Kayapınar
